,id,title,genres,averageRating,numVotes,releaseYear,idjw
175,tt0114709,Toy Story,"Adventure, Animation, Comedy",8.3,1122160,1995,tm14765
176,tt0086250,Scarface,"Crime, Drama",8.3,965310,1983,tm59031
177,tt0180093,Requiem for a Dream,Drama,8.3,938563,2000,tm19246
178,tt0435761,Toy Story 3,"Adventure, Animation, Comedy",8.3,931423,2010,tm101226
179,tt15398776,Oppenheimer,"Biography, Drama, History",8.3,890270,2023,tm1111989
180,tt0211915,Amélie,"Comedy, Romance",8.3,818399,2001,tm50138
181,tt0113277,Heat,"Action, Crime, Drama",8.3,757803,1995,tm11005
182,tt0062622,2001: A Space Odyssey,"Adventure, Sci-Fi",8.3,753335,1968,tm362
183,tt0364569,Oldboy,"Action, Drama, Mystery",8.3,678781,2003,tm136559
184,tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"Comedy, War",8.3,537512,1964,tm188758
185,tt0033467,Citizen Kane,"Drama, Mystery",8.3,480872,1941,tm83648
186,tt0119698,Princess Mononoke,"Adventure, Animation, Fantasy",8.3,460163,1997,tm192569
187,tt0087843,Once Upon a Time in America,"Crime, Drama",8.3,394986,1984,tm180542
188,tt2106476,The Hunt,Drama,8.3,387974,2012,tm54023
189,tt0053125,North by Northwest,"Adventure, Drama, Mystery",8.3,360329,1959,tm40187
190,tt0056592,To Kill a Mockingbird,"Crime, Drama",8.3,343195,1962,tm8717
191,tt0056172,Lawrence of Arabia,"Adventure, Biography, Drama",8.3,329037,1962,tm10529
192,tt0045152,Singin' in the Rain,"Comedy, Musical, Romance",8.3,272488,1952,tm60665
193,tt1832382,A Separation,Drama,8.3,269217,2011,tm169496
194,tt1255953,Incendies,"Drama, Mystery, War",8.3,227594,2010,tm93739
195,tt5074352,Dangal,"Action, Biography, Drama",8.3,225545,2016,tm245671
196,tt0986264,Like Stars on Earth,"Drama, Family",8.3,217747,2007,tm83786
197,tt0053604,The Apartment,"Comedy, Drama, Romance",8.3,208870,1960,tm58955
198,tt0017136,Metropolis,"Drama, Sci-Fi",8.3,194333,1927,tm20203
199,tt0022100,M,"Crime, Mystery, Thriller",8.3,176986,1931,tm47834
200,tt0036775,Double Indemnity,"Crime, Drama, Film-Noir",8.3,174833,1944,tm2669
202,tt10295212,Shershaah,"Action, Biography, Drama",8.3,132352,2021,tm472306
203,tt8503618,Hamilton,"Biography, Drama, History",8.3,127484,2020,tm439596
204,tt0091251,Come and See,"Drama, Thriller, War",8.3,111807,1985,tm126013
205,tt14961016,I'm Still Here,"Biography, Drama, History",8.3,107476,2024,tm1515031
206,tt0044741,Ikiru,Drama,8.3,96353,1952,tm65430
207,tt0055031,Judgment at Nuremberg,"Drama, War",8.3,91570,1961,tm51226
208,tt9179430,Vikram,"Action, Crime, Thriller",8.3,80856,2022,tm1130056
211,tt7060344,Raatchasan,"Crime, Mystery, Thriller",8.3,53892,2018,tm239929
212,tt21626284,Lost Ladies,"Comedy, Drama",8.3,51301,2023,tm1257339
213,tt10280296,Sardar Udham,"Crime, Drama, History",8.3,49164,2021,tm471502
214,tt0019760,Man with a Movie Camera,Documentary,8.3,29204,1929,tm9614
215,tt0110057,Hoop Dreams,"Documentary, Drama, Sport",8.3,28836,1994,tm118001
216,tt7681902,Won't You Be My Neighbor?,"Biography, Documentary, History",8.3,27625,2018,tm367185
219,tt0376127,Anniyan,"Action, Crime, Drama",8.3,23294,2005,tm166148
220,tt0058888,Red Beard,Drama,8.3,22311,1965,tm81379
221,tt9098872,The Rescue,"Action, Documentary, Mystery",8.3,22211,2021,tm1092922
222,tt0037674,Children of Paradise,"Drama, Romance",8.3,21886,1945,tm18532
223,tt0110081,To Live,"Drama, War",8.3,21440,1994,tm115600
224,tt0050634,The Cranes Are Flying,"Drama, Romance, War",8.3,21217,1957,tm122614
225,tt4908644,Winter on Fire: Ukraine's Fight for Freedom,"Documentary, History",8.3,21140,2015,tm220594
226,tt0047445,Sansho the Bailiff,Drama,8.3,19076,1954,tm17878
227,tt13391710,Jana Gana Mana,"Drama, Thriller",8.3,19075,2022,tm1143898
234,tt9006564,2018,"Action, Drama, Thriller",8.3,14357,2023,tm1308672
237,tt2358592,Lucia,"Drama, Sci-Fi, Thriller",8.3,13614,2013,tm180121
238,tt0068519,Gentlemen of Fortune,"Comedy, Crime, Drama",8.3,13612,1971,tm18046
240,tt30953759,No Other Land,Documentary,8.3,12433,2024,tm1436382
243,tt8652818,Violet Evergarden: The Movie,"Animation, Drama, Fantasy",8.3,12262,2020,tm432022
244,tt0139876,Baasha,"Action, Crime, Drama",8.3,12121,1995,tm11119
249,tt0993846,The Wolf of Wall Street,"Biography, Comedy, Crime",8.2,1686451,2013,tm188690
250,tt0372784,Batman Begins,"Action, Crime, Drama",8.2,1646074,2005,tm167206
251,tt1130884,Shutter Island,"Drama, Mystery, Thriller",8.2,1549161,2010,tm99575
252,tt0120382,The Truman Show,"Comedy, Drama",8.2,1280372,1998,tm68909
253,tt0266697,Kill Bill: Vol. 1,"Action, Crime, Thriller",8.2,1250514,2003,tm137220
254,tt0266543,Finding Nemo,"Adventure, Animation, Comedy",8.2,1159974,2003,tm135549
255,tt0477348,No Country for Old Men,"Crime, Drama, Thriller",8.2,1121679,2007,tm68666
256,tt0107290,Jurassic Park,"Action, Adventure, Sci-Fi",8.2,1119158,1993,tm184504
257,tt0167404,The Sixth Sense,"Drama, Mystery, Thriller",8.2,1099180,1999,tm55542
258,tt0268978,A Beautiful Mind,"Biography, Drama, Mystery",8.2,1021809,2001,tm46003
259,tt0095016,Die Hard,"Action, Thriller",8.2,990006,1988,tm52974
260,tt0075314,Taxi Driver,"Crime, Drama",8.2,978546,1976,tm84618
261,tt10872600,Spider-Man: No Way Home,"Action, Adventure, Fantasy",8.2,951233,2021,tm835252
262,tt0208092,Snatch,"Comedy, Crime",8.2,945963,2000,tm25947
263,tt0066921,A Clockwork Orange,"Crime, Sci-Fi",8.2,911387,1971,tm11500
264,tt1392214,Prisoners,"Crime, Drama, Mystery",8.2,871285,2013,tm166586
265,tt0097576,Indiana Jones and the Last Crusade,"Action, Adventure",8.2,838403,1989,tm140316
266,tt0093058,Full Metal Jacket,"Drama, War",8.2,821728,1987,tm22327
267,tt1745960,Top Gun: Maverick,"Action, Drama",8.2,775235,2022,tm316242
268,tt8579674,1917,"Action, Drama, War",8.2,727677,2019,tm420155
269,tt0457430,Pan's Labyrinth,"Drama, Fantasy, War",8.2,724776,2006,tm30521
270,tt0469494,There Will Be Blood,Drama,8.2,670860,2007,tm76553
271,tt0119488,L.A. Confidential,"Crime, Drama, Mystery",8.2,640975,1997,tm192099
272,tt6966692,Green Book,"Biography, Comedy, Drama",8.2,635308,2018,tm404187
273,tt0112641,Casino,"Crime, Drama",8.2,592268,1995,tm16195
