id,title,genres,averageRating,numVotes,releaseYear
tt0096657,"Mr. Bean","Comedy, Family",8.6,142611,1990
tt1870479,"The Newsroom",Drama,8.6,130274,2012
tt1489428,Justified,"Action, Crime, Drama",8.6,125151,2010
tt0348914,Deadwood,"Crime, Drama, History",8.6,123621,2004
tt1305826,"Adventure Time","Action, Adventure, Animation",8.6,123276,2010
tt7908628,"What We Do in the Shadows","Comedy, Fantasy, Horror",8.6,118805,2019
tt4288182,Atlanta,"Comedy, Drama, Music",8.6,94242,2016
tt9174558,Dopesick,Drama,8.6,86344,2021
tt1733785,"The Bridge","Crime, Mystery, Thriller",8.6,80987,2011
tt21209876,"Solo Leveling","Action, Adventure, Animation",8.6,75994,2024
tt5421602,"Anne with an E","Drama, Family",8.6,73959,2017
tt1710308,"Regular Show","Action, Adventure, Animation",8.6,66699,2010
tt4299972,"The Jinx: The Life and Deaths of Robert Durst","Biography, Crime, Documentary",8.6,56262,2015
tt0094525,Poirot,"Crime, Drama, Mystery",8.6,55754,1989
tt0088484,"Blackadder II",Comedy,8.6,52189,1986
tt2100976,"Impractical Jokers","Comedy, Reality-TV",8.6,49174,2011
tt0092324,"Blackadder the Third",Comedy,8.6,49172,1987
tt1641384,"Young Justice","Action, Adventure, Animation",8.6,48597,2010
tt2049116,Gomorrah,"Crime, Drama, Thriller",8.6,47496,2014
tt0111958,"Father Ted",Comedy,8.6,46173,1995
tt13111040,"The Offer","Biography, Crime, Drama",8.6,45963,2022
tt5288312,Skam,"Drama, Romance",8.6,40984,2015
tt12451520,"It's Okay to Not Be Okay","Comedy, Drama, Romance",8.6,40905,2020
tt1534360,Ezel,"Crime, Drama, Thriller",8.6,40721,2009
tt9140342,"It's a Sin",Drama,8.6,39294,2021
tt11854694,"Special OPS","Action, Crime, Thriller",8.6,38933,2020
tt0053488,"The Bugs Bunny Show","Animation, Comedy",8.6,36961,1960
tt2701582,Endeavour,"Crime, Drama, Mystery",8.6,36037,2012
tt7562112,Pose,Drama,8.6,35084,2018
tt0380136,QI,"Comedy, Game-Show",8.6,34897,2003
tt1983079,"Call the Midwife","Drama, History",8.6,33598,2012
tt20869502,"Extraordinary Attorney Woo",Drama,8.6,33234,2022
tt5994364,"Guardian: The Lonely and Great God","Comedy, Drama, Fantasy",8.6,33188,2016
tt4647692,Letterkenny,Comedy,8.6,32424,2016
tt21056886,"Scavengers Reign","Adventure, Animation, Drama",8.6,29829,2023
tt0417373,"The Venture Bros.","Action, Adventure, Animation",8.6,29501,2003
tt0094517,"Mystery Science Theater 3000","Comedy, Sci-Fi",8.6,27044,1988
tt4156586,"Permanent Roommates","Comedy, Romance",8.6,26691,2014
tt10332508,Primal,"Action, Adventure, Animation",8.6,24777,2019
tt4082744,Detectorists,Comedy,8.6,23936,2014
tt0129690,"I'm Alan Partridge",Comedy,8.6,23125,1997
tt0421291,"Avrupa Yakasi",Comedy,8.6,22868,2004
tt8050756,"The Owl House","Action, Adventure, Animation",8.6,22743,2020
tt28857177,"Lucky Guy","Comedy, Drama, Fantasy",8.6,22045,2023
tt2311418,"Isler Güçler",Comedy,8.6,21740,2012
tt7278862,"My Brilliant Friend",Drama,8.6,21607,2018
tt10590066,"All Creatures Great & Small","Comedy, Drama",8.6,20016,2020
tt9814458,"Bandish Bandits","Drama, Music, Romance",8.6,19823,2020
tt0310455,"Foyle's War","Crime, Drama, Mystery",8.6,19704,2002
tt1513168,"Through the Wormhole",Documentary,8.6,19132,2010
tt0080306,"Yes Minister",Comedy,8.6,18015,1980
tt3671754,"Kardes Payi",Comedy,8.6,17990,2014
tt17513352,"Twenty Five Twenty One","Drama, Romance",8.6,17925,2022
tt0203082,"Rurouni Kenshin: Trust and Betrayal","Action, Adventure, Animation",8.6,17365,1999
tt8317568,"Broken But Beautiful","Drama, Romance",8.6,17311,2018
tt0403778,"Long Way Round","Adventure, Documentary",8.6,16283,2004
tt15614372,"Tear Along the Dotted Line","Animation, Comedy, Drama",8.6,15669,2021
tt6385540,Hilda,"Adventure, Animation, Drama",8.6,15181,2018
tt13634792,Mouse,"Action, Crime, Mystery",8.6,14471,2021
tt1877368,"The Great British Baking Show","Game-Show, Reality-TV",8.6,14218,2010
tt0086831,"Yes, Prime Minister",Comedy,8.6,14072,1986
tt5320412,"Moon Lovers: Scarlet Heart Ryeo","Action, Drama, Fantasy",8.6,13527,2016
tt13400006,"Mr. Queen","Comedy, Fantasy, Romance",8.6,13105,2020
tt9103932,"Greatest Events of WWII in Colour","Documentary, History, War",8.6,12589,2019
tt0118273,"Brass Eye",Comedy,8.6,12284,1997
tt31862849,"Very Parivarik",Comedy,8.6,11523,2024
tt31324295,"Lovely Runner","Comedy, Fantasy, Music",8.6,11087,2024
tt0426719,"Hunter x Hunter","Action, Adventure, Animation",8.6,10977,1999
tt18249282,Shoresy,"Action, Comedy, Drama",8.6,10830,2022
tt8254348,ImMATURE,"Comedy, Drama, Romance",8.6,10647,2019
tt4580372,Merlí,"Comedy, Drama, Romance",8.6,10505,2015
tt28093628,"Common Side Effects","Animation, Comedy, Drama",8.6,10346,2024
tt2306299,Vikings,"Action, Adventure, Drama",8.5,617079,2013
tt10048342,"The Queen's Gambit",Drama,8.5,616775,2020
tt1442437,"Modern Family","Comedy, Drama, Romance",8.5,515605,2009
tt4158110,"Mr. Robot","Crime, Drama, Thriller",8.5,440983,2015
tt5071412,Ozark,"Crime, Drama, Thriller",8.5,369850,2017
tt1124373,"Sons of Anarchy","Crime, Drama, Thriller",8.5,340082,2008
tt1586680,Shameless,"Comedy, Drama",8.5,310690,2011
tt6763664,"The Haunting of Hill House","Drama, Horror, Mystery",8.5,309759,2018
tt1439629,Community,Comedy,8.5,303335,2009
tt2243973,Hannibal,"Crime, Drama, Horror",8.5,292169,2013
tt0149460,Futurama,"Adventure, Animation, Comedy",8.5,271025,1999
tt14452776,"The Bear","Comedy, Drama",8.5,269444,2022
tt1442449,Spartacus,"Action, Adventure, Biography",8.5,266589,2010
tt0436992,"Doctor Who","Adventure, Drama, Sci-Fi",8.5,257065,2005
tt1839578,"Person of Interest","Action, Crime, Drama",8.5,198028,2011
tt3230854,"The Expanse","Drama, Mystery, Sci-Fi",8.5,183205,2015
tt4179452,"The Last Kingdom","Action, Drama, History",8.5,177949,2015
tt2575988,"Silicon Valley",Comedy,8.5,174440,2014
tt0487831,"The IT Crowd",Comedy,8.5,170974,2006
tt3526078,"Schitt's Creek",Comedy,8.5,161280,2015
tt12343534,"Jujutsu Kaisen","Action, Adventure, Animation",8.5,153788,2020
tt1758429,"Spartacus: Gods of the Arena","Action, Adventure, Biography",8.5,150208,2011
tt0290978,"The Office","Comedy, Drama",8.5,128296,2001
tt5189670,"Making a Murderer","Crime, Documentary",8.5,105952,2015
tt0112159,"Neon Genesis Evangelion","Action, Animation, Drama",8.5,97600,1995
tt6077448,"Sacred Games","Action, Crime, Drama",8.5,95272,2018
tt3502248,Bosch,"Crime, Drama",8.5,89447,2014
tt10638036,Heartstopper,"Drama, Romance",8.5,86970,2022
tt1492966,Louie,"Comedy, Drama",8.5,84120,2010
tt4093826,"Twin Peaks","Crime, Drama, Horror",8.5,83118,2017
tt0314979,"Battlestar Galactica","Action, Adventure, Drama",8.5,83043,2003
tt0421357,"Fullmetal Alchemist","Action, Adventure, Animation",8.5,82080,2003
tt0088509,"Dragon Ball","Action, Adventure, Animation",8.5,72155,1986
tt0280249,"Dragon Ball","Action, Adventure, Animation",8.5,70435,1995
tt3428912,"Happy Valley","Crime, Drama, Thriller",8.5,69471,2014
tt7120662,"Derry Girls",Comedy,8.5,68817,2018
tt11912196,"Asur: Welcome to Your Dark Side","Crime, Drama, Mystery",8.5,68286,2020
tt0863046,"Flight of the Conchords","Comedy, Music, Musical",8.5,68219,2007
tt0068098,M*A*S*H,"Comedy, Drama, War",8.5,66625,1972
tt0278238,"Samurai Jack","Action, Adventure, Animation",8.5,63457,2001
tt0423731,"Samurai Champloo","Action, Adventure, Animation",8.5,59723,2004
tt0187664,Spaced,Comedy,8.5,59533,1999
tt8289930,"Formula 1: Drive to Survive","Documentary, Sport",8.5,56143,2019
tt5897304,"Mob Psycho 100","Action, Animation, Comedy",8.5,55460,2016
tt0275137,"Justice League","Action, Adventure, Animation",8.5,54787,2001
tt0290988,"Trailer Park Boys","Comedy, Crime",8.5,54689,2001
tt2937900,"The Knick","Drama, History",8.5,54537,2014
tt0402711,"Boston Legal","Comedy, Crime, Drama",8.5,51783,2004
tt0237123,Coupling,"Comedy, Romance",8.5,49221,2000
tt0163507,"Whose Line Is It Anyway?","Comedy, Game-Show",8.5,48012,1998
tt3895150,"Your Lie in April","Animation, Comedy, Drama",8.5,44036,2014
tt2359704,"JoJo's Bizarre Adventure","Action, Adventure, Animation",8.5,43017,2012
tt0373732,"The Boondocks","Action, Animation, Comedy",8.5,38435,2005
tt0417349,"North & South","Drama, Romance",8.5,36712,2004
tt1526318,Borgen,Drama,8.5,31311,2010
tt12714854,"Mumbai Diaries","Drama, Thriller",8.5,31078,2021
tt1299368,Southland,"Crime, Drama, Thriller",8.5,30101,2009
tt0043208,"I Love Lucy",Comedy,8.5,29998,1951
tt10802170,"The Rehearsal","Comedy, Documentary",8.5,29187,2022
tt9398466,"Delhi Crime","Crime, Drama",8.5,27605,2019
tt16296870,"The Railway Men","Drama, History, Thriller",8.5,26564,2023
tt0075520,"Jesus of Nazareth","Biography, Drama, History",8.5,26423,1977
tt1353056,"RuPaul's Drag Race","Game-Show, Reality-TV",8.5,24651,2009
tt9522300,"Kaguya-sama: Love is War","Animation, Comedy, Romance",8.5,24217,2019
tt0088727,"Anne of Green Gables","Drama, Family",8.5,23653,1985
tt0262985,"Queer as Folk","Drama, Romance",8.5,23252,2000
tt2244495,"The Eric Andre Show","Comedy, Talk-Show",8.5,23205,2012
tt2674806,"Inside No. 9","Comedy, Crime, Drama",8.5,22428,2014
tt11407524,"Hostel Daze","Comedy, Drama",8.5,21995,2019
tt7259746,"Queer Eye",Reality-TV,8.5,21833,2018
tt0346314,"Ghost in the Shell: Stand Alone Complex","Action, Animation, Crime",8.5,21740,2002
tt12074628,"Smiling Friends","Animation, Comedy, Short",8.5,21353,2020
tt0182629,"Rurouni Kenshin","Action, Adventure, Animation",8.5,21292,1996
tt0397150,"Garth Marenghi's Darkplace","Comedy, Fantasy, Horror",8.5,20967,2004
tt6005644,"TVF Tripling","Comedy, Drama",8.5,20930,2016
tt3673794,Kingdom,"Drama, Sport",8.5,20399,2014
tt2155025,"Please Like Me","Comedy, Drama, Romance",8.5,20207,2013
tt0047708,"Alfred Hitchcock Presents","Crime, Drama, Mystery",8.5,20024,1955
tt0493331,"Barareh Nights",Comedy,8.5,19333,2005
tt26225038,"Death's Game","Drama, Fantasy",8.5,18832,2023
tt5425186,"Horace and Pete","Comedy, Drama",8.5,17935,2016
tt0070644,"Scenes from a Marriage",Drama,8.5,17585,1973
tt4295140,"Chef's Table","Biography, Documentary",8.5,17499,2015
tt0185133,"Yu Yu Hakusho: Ghost Files","Action, Adventure, Animation",8.5,17273,1992
tt11691684,"Flower of Evil","Crime, Mystery, Romance",8.5,16804,2020
tt0131179,"Detective Conan","Action, Animation, Comedy",8.5,16600,1996
tt1230180,"The Angry Video Game Nerd","Action, Comedy, Fantasy",8.5,16100,2004
tt6958022,"The Defiant Ones","Biography, Crime, Documentary",8.5,15883,2017
tt0061287,"The Prisoner","Drama, Mystery, Sci-Fi",8.5,15692,1967
tt0098825,"House of Cards",Drama,8.5,15478,1990
tt0807832,Mushi-Shi,"Animation, Drama, Fantasy",8.5,15428,2005
tt0934320,"Summer Heights High","Comedy, Drama, Family",8.5,15378,2007
tt11680642,Pantheon,"Action, Adventure, Animation",8.5,15280,2022
tt22185582,Sixer,"Drama, Sport",8.5,14235,2022
tt0120570,"From the Earth to the Moon","Action, Drama, History",8.5,14086,1998
tt26743760,"The Apothecary Diaries","Animation, Drama, History",8.5,13713,2023
tt0315008,"Great Teacher Onizuka","Animation, Comedy, Drama",8.5,12962,1999
tt14533970,"The Prince","Comedy, History",8.5,12176,2023
tt9304350,"Fruits Basket","Animation, Comedy, Drama",8.5,11239,2019
tt11052470,"Move to Heaven",Drama,8.5,11179,2021
tt12369754,Staged,"Comedy, Drama",8.5,11162,2020
tt5332206,Signal,"Crime, Drama, Fantasy",8.5,10679,2016
tt0062550,"The Bugs Bunny/Road Runner Hour","Animation, Comedy",8.5,10393,1968
tt2301351,"RuPaul's Drag Race All Stars","Game-Show, Reality-TV",8.5,10377,2012
tt0475784,Westworld,"Drama, Mystery, Sci-Fi",8.4,547924,2016
tt1632701,Suits,"Comedy, Drama",8.4,514868,2011
tt0460681,Supernatural,"Drama, Fantasy, Horror",8.4,511663,2005
tt2467372,"Brooklyn Nine-Nine","Comedy, Crime",8.4,393845,2013
tt5675620,"The Punisher","Action, Crime, Drama",8.4,284504,2017
tt0285403,Scrubs,"Comedy, Drama",8.4,277408,2001
tt1119644,Fringe,"Drama, Mystery, Sci-Fi",8.4,264022,2008
tt3920596,"Big Little Lies","Crime, Drama, Mystery",8.4,236124,2017
tt7221388,"Cobra Kai","Action, Comedy, Drama",8.4,230911,2018
tt9561862,"Love, Death & Robots","Action, Adventure, Animation",8.4,213965,2019
tt10155688,"Mare of Easttown","Crime, Drama, Mystery",8.4,204940,2021
tt0285331,24,"Action, Crime, Drama",8.4,202453,2001
tt9253284,Andor,"Action, Adventure, Drama",8.4,201856,2022
tt2401256,"The Night Of","Crime, Drama, Mystery",8.4,182810,2016
tt0387199,Entourage,"Comedy, Drama",8.4,180291,2004
tt7657124,"The Heroes","Animation, Drama, History",8.4,170238,2008
tt8398600,"After Life","Comedy, Drama",8.4,161294,2019
tt1474684,Luther,"Crime, Drama, Mystery",8.4,159192,2010
tt0409591,Naruto,"Action, Adventure, Animation",8.4,146876,2002
tt2017109,Banshee,"Action, Crime, Drama",8.4,135764,2013
tt0458290,"Star Wars: The Clone Wars","Action, Adventure, Animation",8.4,132014,2008
tt2149175,"The Americans","Crime, Drama, Mystery",8.4,117412,2013
tt0491738,Psych,"Comedy, Crime, Mystery",8.4,116160,2006
tt0118480,"Stargate SG-1","Action, Adventure, Drama",8.4,105000,1997
tt9059760,"Normal People","Drama, Romance",8.4,104982,2020
tt2788432,"American Crime Story","Biography, Crime, Drama",8.4,100914,2016
tt1220617,"The Inbetweeners",Comedy,8.4,97867,2008
tt0060028,"Star Trek","Action, Adventure, Drama",8.4,96950,1966
