id,title,type,genres,averageRating,numVotes,releaseYear,idjw,NbDiff,ClassifImdb,CodePays
tt0050083,12 Angry Men,movie,"Crime, Drama",9.0,925339.0,1957.0,tm1962,1.0,tous publics,'us'
tt0145487,Spider-Man,movie,"Action, Adventure, Sci-Fi",7.4,923817.0,2002.0,tm109418,4.0,tous publics,'us'
tt0066921,A Clockwork Orange,movie,"Crime, Sci-Fi",8.2,911697.0,1971.0,tm11500,3.0,16,"'gb', 'us'"
tt1663202,The Revenant,movie,"Adventure, Drama, Western",8.0,911627.0,2015.0,tm139729,2.0,12,"'us', 'hk', 'tw', 'ar'"
tt0245429,Spirited Away,movie,"Adventure, Animation, Family",8.6,910573.0,2001.0,tm48297,1.0,tous publics,"'jp', 'us'"
tt7131622,Once Upon a Time... in Hollywood,movie,"Comedy, Drama",7.6,909776.0,2019.0,tm327097,1.0,12,"'us', 'gb', 'cn'"
tt0241527,Harry Potter and the Sorcerer's Stone,movie,"Adventure, Family, Fantasy",7.7,904271.0,2001.0,tm50154,3.0,tous publics,"'gb', 'us'"
tt1228705,Iron Man 2,movie,"Action, Sci-Fi",6.9,903251.0,2010.0,tm92312,1.0,tous publics,'us'
tt1010048,Slumdog Millionaire,movie,"Crime, Drama, Romance",8.0,895153.0,2008.0,tm54060,5.0,tous publics,"'gb', 'fr', 'us', 'in'"
tt0120915,Star Wars: Episode I - The Phantom Menace,movie,"Action, Adventure, Fantasy",6.5,892383.0,1999.0,tm4,1.0,tous publics,"'us', 'gb'"
tt15398776,Oppenheimer,movie,"Biography, Drama, History",8.3,892125.0,2023.0,tm1111989,1.0,tous publics,"'us', 'gb'"
tt0416449,300,movie,"Action, Drama",7.6,891017.0,2006.0,tm33514,4.0,12,"'us', 'ca', 'bg'"
tt0118715,The Big Lebowski,movie,"Comedy, Crime",8.1,890649.0,1998.0,tm60593,2.0,tous publics,"'gb', 'us'"
tt3315342,Logan,movie,"Action, Drama, Sci-Fi",8.1,890042.0,2017.0,tm12118,1.0,12 avec avertissement,'us'
tt3498820,Captain America: Civil War,movie,"Action, Sci-Fi",7.8,889033.0,2016.0,tm123356,1.0,tous publics,"'us', 'de', 'pr'"
