,id,title,type,averageRating,numVotes,releaseYear,idjw,NbDiff,ClassifImdb,Diffuseur,SVOD,ClassificationSVOD,ValNudite,ScoreNudite,ValViolence,ScoreViolence,ValVulgarite,ScoreVulgarite,ValStupefiants,ScoreStupefiants,ValIntensite,ScoreIntensite,CP_ae,CP_ar,CP_at,CP_au,CP_be,CP_bg,CP_br,CP_ca,CP_ch,CP_cl,CP_cn,CP_co,CP_cz,CP_de,CP_dk,CP_dz,CP_es,CP_fi,CP_fr,CP_gb,CP_gr,CP_hk,CP_hr,CP_hu,CP_id,CP_ie,CP_il,CP_in,CP_is,CP_it,CP_jo,CP_jp,CP_ke,CP_kh,CP_kr,CP_lu,CP_ma,CP_mc,CP_mt,CP_mx,CP_my,CP_nl,CP_no,CP_np,CP_nz,CP_pa,CP_pe,CP_ph,CP_pl,CP_pr,CP_pt,CP_py,CP_qa,CP_ro,CP_rs,CP_ru,CP_se,CP_sg,CP_si,CP_th,CP_tr,CP_tw,CP_ua,CP_us,CP_uy,CP_vn,CP_xwg,CP_za,Genre_action,Genre_adventure,Genre_animation,Genre_biography,Genre_comedy,Genre_crime,Genre_documentary,Genre_drama,Genre_family,Genre_fantasy,Genre_film-noir,Genre_history,Genre_horror,Genre_music,Genre_musical,Genre_mystery,Genre_romance,Genre_sci-fi,Genre_sport,Genre_thriller,Genre_war,Genre_western
747,tt3521164,Moana,movie,7.6,415657.0,2016.0,tm120111,1.0,tous publics,https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fmovies%2Fvaiana-la-legende-du-bout-du-monde%2F70GoJHflgHH9&subId3=justappsvod,Disney+,6+,Aucun,82.07,Faible,59.03,Aucun,81.46,Aucun,95.35,Faible,65.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
748,tt2582846,The Fault in Our Stars,movie,7.6,414966.0,2014.0,tm141973,1.0,tous publics,https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fmovies%2Fnos-etoiles-contraires%2F54mG9tD7cU2q&subId3=justappsvod,Disney+,12+,Faible,55.29,Faible,65.56,Faible,71.08,Faible,76.25,Modéré,61.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
749,tt0119094,Face/Off,movie,7.3,414604.0,1997.0,tm189515,2.0,12,https://app.primevideo.com/detail?gti=amzn1.dv.gti.e926055c-62fb-45ab-b3ce-c5e20838036b,Prime Video,TOUS PUBLICS,Faible,43.97,Élevé,63.29,Élevé,64.1,Modéré,71.43,Modéré,59.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
750,tt0119094,Face/Off,movie,7.3,414604.0,1997.0,tm189515,2.0,12,https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fmovies%2Fvolte-face%2F6yYuTBJXE1BI&subId3=justappsvod,Disney+,16+,Faible,43.97,Élevé,63.29,Élevé,64.1,Modéré,71.43,Modéré,59.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
751,tt1542344,127 Hours,movie,7.5,413973.0,2010.0,tm102558,4.0,tous publics avec avertissement,https://www.paramountplus.com/movies/127-hours/_DDzorD8d5D_gDy1FcpyBuFxZMKQGP8D?searchReferral=,Paramount+,12,Faible,63.13,Élevé,77.27,Modéré,53.33,Faible,73.95,Élevé,78.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
752,tt1542344,127 Hours,movie,7.5,413973.0,2010.0,tm102558,4.0,tous publics avec avertissement,https://app.primevideo.com/detail?gti=amzn1.dv.gti.b6b6c178-cc6d-f307-131f-93e620d7f98f,Prime Video,16+,Faible,63.13,Élevé,77.27,Modéré,53.33,Faible,73.95,Élevé,78.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
753,tt1542344,127 Hours,movie,7.5,413973.0,2010.0,tm102558,4.0,tous publics avec avertissement,https://tv.apple.com/fr/movie/127-heures/umc.cmc.5lcdn7u2u92169mx1qywuat6y?at=1000l3V2&ct=app_tv&itscg=30200&itsct=justwatch_tv_12&playableId=tvs.sbd.9001%3A444777218,AppleTV+,Tout public,Faible,63.13,Élevé,77.27,Modéré,53.33,Faible,73.95,Élevé,78.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
754,tt1542344,127 Hours,movie,7.5,413973.0,2010.0,tm102558,4.0,tous publics avec avertissement,https://www.universcine.com/films/127-heures,UniversCine,,Faible,63.13,Élevé,77.27,Modéré,53.33,Faible,73.95,Élevé,78.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
755,tt1587310,Maleficent,movie,6.9,413702.0,2014.0,tm147258,1.0,tous publics,https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fmovies%2Fmalefique%2F1QAyjfzQe6OK&subId3=justappsvod,Disney+,12+,Aucun,70.8,Modéré,49.44,Aucun,89.19,Aucun,78.08,Faible,46.15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
756,tt0454848,Inside Man,movie,7.6,413001.0,2006.0,tm27163,2.0,tous publics,https://play.max.com/show/228dbc3f-82bc-41fd-aa32-a47d42c37d05?utm_source=universal_search,MAX,,Faible,37.2,Modéré,50.91,Élevé,68.97,Faible,83.33,Modéré,53.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
