,id,title,type,averageRating,numVotes,releaseYear,idjw,NbDiff,ClassifImdb,Diffuseur,SVOD,ClassificationSVOD,visaCNC,classifCNC,ValNudite,ScoreNudite,ValViolence,ScoreViolence,ValVulgarite,ScoreVulgarite,ValStupefiants,ScoreStupefiants,ValIntensite,ScoreIntensite,Genre_action,Genre_adventure,Genre_animation,Genre_biography,Genre_comedy,Genre_crime,Genre_documentary,Genre_drama,Genre_family,Genre_fantasy,Genre_film-noir,Genre_history,Genre_horror,Genre_music,Genre_musical,Genre_mystery,Genre_romance,Genre_sci-fi,Genre_sport,Genre_thriller,Genre_war,Genre_western,classifJW,Duree,DureeEp,CP_
18,tt0133093,The Matrix,movie,8.7,2156057.0,1999.0,tm10,3.0,tous publics avec avertissement,https://app.primevideo.com/detail?gti=amzn1.dv.gti.dea9f6b7-e0a0-38c9-7467-d6079c6fb4f0,Prime Video,13+,97109,Tous publics avec avertissement,Faible,47.47,Modéré,67.76,Modéré,47.13,Faible,79.18,Modéré,59.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,136.0,,['US']
19,tt0068646,The Godfather,movie,9.2,2125282.0,1972.0,tm155580,3.0,12::(new rating),https://tv.apple.com/fr/movie/le-parrain/umc.cmc.3ew9fykdnpfaq9t2jq5da011c?at=1000l3V2&ct=app_tv&itscg=30200&itsct=justwatch_tv_12&playableId=tvs.sbd.9001%3A364918770,AppleTV+,-12,39917,Interdiction aux mineurs -12 ans,Modéré,45.85,Élevé,70.35,Modéré,57.16,Faible,72.2,Modéré,52.23,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,175.0,,['US']
20,tt0068646,The Godfather,movie,9.2,2125282.0,1972.0,tm155580,3.0,12::(new rating),https://app.primevideo.com/detail?gti=amzn1.dv.gti.64a9f786-efb1-28d3-bf27-6038d12cc53a,Prime Video,16+,39917,Interdiction aux mineurs -12 ans,Modéré,45.85,Élevé,70.35,Modéré,57.16,Faible,72.2,Modéré,52.23,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,175.0,,['US']
21,tt0068646,The Godfather,movie,9.2,2125282.0,1972.0,tm155580,3.0,12::(new rating),https://www.paramountplus.com/movies/godfather/gUufhVPlJy5i5HLTbS8li1LruEeMH_3x?searchReferral=,Paramount+,16,39917,Interdiction aux mineurs -12 ans,Modéré,45.85,Élevé,70.35,Modéré,57.16,Faible,72.2,Modéré,52.23,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,175.0,,['US']
22,tt0120737,The Lord of the Rings: The Fellowship of the Ring,movie,8.9,2107957.0,2001.0,tm44313,1.0,tous publics,https://app.primevideo.com/detail?gti=amzn1.dv.gti.18874f28-ed2b-4235-a4ef-bd1f9af589cc,Prime Video,13+,104293,Tous publics,Aucun,88.94,Modéré,71.32,Aucun,87.68,Faible,76.2,Modéré,67.86,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,179.0,,['US']
23,tt0167260,The Lord of the Rings: The Return of the King,movie,9.0,2077973.0,2003.0,tm142381,1.0,tous publics avec avertissement,https://app.primevideo.com/detail?gti=amzn1.dv.gti.46a974f9-6f03-4ea1-9a61-da05e38808af,Prime Video,13+,109443,Tous publics avec avertissement,Aucun,87.55,Modéré,62.6,Aucun,90.91,Faible,78.95,Modéré,61.36,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,201.0,,['US']
24,tt1345836,The Dark Knight Rises,movie,8.4,1913559.0,2012.0,tm39888,2.0,tous publics,https://play.max.com/show/6ce5965d-cdb2-4f9c-b22b-ae7a091d95a8?utm_source=universal_search,MAX,,134042,Tous publics,Faible,49.16,Modéré,71.89,Faible,76.92,Faible,78.33,Modéré,58.8,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,165.0,,"['GB', 'US']"
25,tt1345836,The Dark Knight Rises,movie,8.4,1913559.0,2012.0,tm39888,2.0,tous publics,https://app.primevideo.com/detail?gti=amzn1.dv.gti.1ea9f6f7-7781-df4e-60bf-d24b8365b375,Prime Video,13+,134042,Tous publics,Faible,49.16,Modéré,71.89,Faible,76.92,Faible,78.33,Modéré,58.8,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,165.0,,"['GB', 'US']"
26,tt0167261,The Lord of the Rings: The Two Towers,movie,8.8,1873596.0,2002.0,tm115982,1.0,tous publics avec avertissement,https://app.primevideo.com/detail?gti=amzn1.dv.gti.7ed946dc-d84e-49e0-a032-ddd09cbe362d,Prime Video,13+,106824,Tous publics avec avertissement,Aucun,79.03,Modéré,72.41,Aucun,91.44,Faible,74.61,Modéré,70.49,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,179.0,,['US']
27,tt1853728,Django Unchained,movie,8.5,1791607.0,2012.0,tm41792,1.0,12,https://www.netflix.com/title/70230640,Netflix,16+,134077,Interdiction aux mineurs -12 ans,Modéré,44.26,Élevé,91.77,Élevé,88.52,Faible,71.06,Élevé,70.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12,165.0,,['US']
28,tt0172495,Gladiator,movie,8.5,1760458.0,2000.0,tm28142,4.0,tous publics avec avertissement,https://www.netflix.com/title/60000929,Netflix,16+,99762,Tous publics avec avertissement,Faible,55.05,Élevé,75.81,Faible,71.78,Aucun,79.19,Élevé,57.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,155.0,,['US']
29,tt0172495,Gladiator,movie,8.5,1760458.0,2000.0,tm28142,4.0,tous publics avec avertissement,https://play.max.com/show/d394e015-03f5-48fb-a42a-7681c49a6175?utm_source=universal_search,MAX,,99762,Tous publics avec avertissement,Faible,55.05,Élevé,75.81,Faible,71.78,Aucun,79.19,Élevé,57.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,155.0,,['US']
30,tt0172495,Gladiator,movie,8.5,1760458.0,2000.0,tm28142,4.0,tous publics avec avertissement,https://app.primevideo.com/detail?gti=amzn1.dv.gti.f2a9f680-2275-2949-77fd-e67f07b680f0,Prime Video,16+,99762,Tous publics avec avertissement,Faible,55.05,Élevé,75.81,Faible,71.78,Aucun,79.19,Élevé,57.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,155.0,,['US']
