,id,title,type,genres,averageRating,numVotes,releaseYear,idjw,NbDiff,Diff
31,tt1442437,Modern Family,tvSeries,"Comedy, Drama, Romance",8.5,516082.0,2009.0,ts20605,1.0,['https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Fmodern-family%2F6p2yzz9mh8Kp&subId3=justappsvod']
32,tt1632701,Suits,tvSeries,"Comedy, Drama",8.4,515289.0,2011.0,ts22277,1.0,['https://www.netflix.com/title/70195800']
33,tt0460681,Supernatural,tvSeries,"Drama, Fantasy, Horror",8.4,511939.0,2005.0,ts21465,3.0,"['https://app.primevideo.com/detail?gti=amzn1.dv.gti.3ea9f699-8c1a-927c-2f88-d2b9900305e3', 'https://www.mycanal.fr/series/supernatural/h/40431599_50889', 'https://play.max.com/video/watch/ebfbe84f-d962-4de9-803f-c69bec5834e7?utm_source=universal_search']"
34,tt3322312,Daredevil,tvSeries,"Action, Crime, Drama",8.6,505792.0,2015.0,ts21903,1.0,['https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Fdaredevil%2F5jKSWL7ZMg50&subId3=justappsvod']
35,tt2707408,Narcos,tvSeries,"Biography, Crime, Drama",8.7,501151.0,2015.0,ts36631,1.0,['https://www.netflix.com/title/80025172']
36,tt5753856,Dark,tvSeries,"Crime, Drama, Mystery",8.7,491627.0,2017.0,ts55668,1.0,['https://www.netflix.com/title/80100172']
37,tt11198330,House of the Dragon,tvSeries,"Action, Adventure, Drama",8.3,476235.0,2022.0,ts222558,3.0,"['https://app.primevideo.com/detail?gti=amzn1.dv.gti.ac541637-f9fc-4f20-8f5a-3975d473fa0e', 'https://www.mycanal.fr/series/house-of-the-dragon/h/40425913_50889', 'https://play.max.com/video/watch/847404c3-4390-4195-bf4b-465a8935fd04?utm_source=universal_search']"
38,tt2193021,Arrow,tvSeries,"Action, Adventure, Crime",7.5,454174.0,2012.0,ts17598,3.0,"['https://play.max.com/video/watch/43251b87-fddf-4265-8c71-f05008adcc34?utm_source=universal_search', 'https://www.mycanal.fr/series/arrow/h/40507049_50889', 'https://app.primevideo.com/detail?gti=amzn1.dv.gti.5a444fd2-4046-4863-a365-4d4cbdb1401b']"
39,tt0096697,The Simpsons,tvSeries,"Animation, Comedy",8.6,453543.0,1989.0,ts20711,1.0,['https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Fles-simpson%2F3ZoBZ52QHb4x&subId3=justappsvod']
40,tt2802850,Fargo,tvSeries,"Crime, Drama, Thriller",8.8,444888.0,2014.0,ts8345,3.0,"['https://www.canalplus.com/series/fargo/h/11136816_50076', 'https://app.primevideo.com/detail?gti=amzn1.dv.gti.3aa9f7ba-7328-4bc4-422f-a20ba2ad9584', 'https://www.canalplus.com/series/fargo-saison-1-episode-1/h/10027927_50001?episodeId=10026448_50001']"
41,tt9140554,Loki,tvSeries,"Action, Adventure, Fantasy",8.2,444297.0,2021.0,ts86474,1.0,['https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Floki%2F6pARMvILBGzF&subId3=justappsvod']
42,tt4158110,Mr. Robot,tvSeries,"Crime, Drama, Thriller",8.5,441171.0,2015.0,ts35476,0.0,[]
43,tt0877057,Death Note,tvSeries,"Animation, Crime, Drama",8.9,425414.0,2006.0,ts11313,3.0,"['https://app.primevideo.com/detail?gti=amzn1.dv.gti.94af1091-bc97-a32b-3fdc-e55b21a4b690', 'https://www.netflix.com/title/70204970', 'https://www.crunchyroll.com/watch/G4VUW775W']"
44,tt7631058,The Lord of the Rings: The Rings of Power,tvSeries,"Action, Adventure, Drama",6.9,425217.0,2022.0,ts325752,1.0,['https://app.primevideo.com/detail?gti=amzn1.dv.gti.eedf35c9-fa32-4c9f-8516-bfa78ab759de']
45,tt0121955,South Park,tvSeries,"Animation, Comedy",8.7,422746.0,1997.0,ts21792,5.0,"['https://www.paramountplus.com/shows/south-park/video/sKBdY6WpPnUgNfpg2T9iCVRP3KNqbHxn/south-park-cartman-gets-an-anal-probe?searchReferral=', 'https://tv.apple.com', 'https://www.mycanal.fr/jeunesse/south-park/h/18101203_50662', 'https://app.molotov.tv/channel/261/program/14303', 'https://app.primevideo.com/detail?gti=amzn1.dv.gti.c32772b2-28a5-4706-9409-4ab4324bf93c']"
46,tt13443470,Wednesday,tvSeries,"Comedy, Crime, Fantasy",8.0,416742.0,2022.0,ts274631,1.0,['https://www.netflix.com/title/81231974']
47,tt0417299,Avatar: The Last Airbender,tvSeries,"Action, Adventure, Animation",9.3,406238.0,2005.0,ts83993,1.0,['https://www.netflix.com/title/80237957']
48,tt0306414,The Wire,tvSeries,"Crime, Drama, Thriller",9.3,403330.0,2002.0,ts22047,3.0,"['https://www.mycanal.fr/series/sur-ecoute/h/40427589_50889', 'https://app.primevideo.com/detail?gti=amzn1.dv.gti.7145d133-fa9c-4beb-82c7-37f23a419762', 'https://play.max.com/video/watch/2bc897ae-593e-489e-be2e-639857ca874a?utm_source=universal_search']"
49,tt10986410,Ted Lasso,tvSeries,"Comedy, Drama, Sport",8.8,400684.0,2020.0,ts224087,1.0,['https://tv.apple.com/fr/episode/le-pilote/umc.cmc.zb0yksqtym68hasbq8mj4jwp?at=1000l3V2&ct=app_tvplus&itscg=30200&itsct=justwatch_tv_12&playableId=tvs.sbd.4000%3AVTEDL0560101&showId=umc.cmc.vtoh0mn0xn7t3c643xqonfzy']
50,tt9140560,WandaVision,tvMiniSeries,"Action, Comedy, Drama",7.9,396101.0,2021.0,ts86795,1.0,['https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Fwandavision%2F4SrN28ZjDLwH&subId3=justappsvod']
51,tt11126994,Arcane,tvSeries,"Action, Adventure, Animation",9.0,395339.0,2021.0,ts222333,1.0,['https://www.netflix.com/title/81435684']
52,tt2467372,Brooklyn Nine-Nine,tvSeries,"Comedy, Crime",8.4,394037.0,2013.0,ts11174,1.0,['https://www.netflix.com/title/70281562']
53,tt7767422,Sex Education,tvSeries,"Comedy, Drama, Romance",8.2,378893.0,2019.0,ts82915,1.0,['https://www.netflix.com/title/80197526']
54,tt0182576,Family Guy,tvSeries,"Animation, Comedy",8.1,377464.0,1999.0,ts3,1.0,['https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Ffamily-guy%2F50eOTyhnHBoi&subId3=justappsvod']
55,tt3107288,The Flash,tvSeries,"Action, Adventure, Drama",7.5,376981.0,2014.0,ts11188,1.0,['https://www.netflix.com/title/80027042']
56,tt4052886,Lucifer,tvSeries,"Crime, Drama, Fantasy",8.0,375645.0,2016.0,ts36147,1.0,['https://www.netflix.com/title/80057918']
57,tt5071412,Ozark,tvSeries,"Crime, Drama, Thriller",8.5,370020.0,2017.0,ts53864,1.0,['https://www.netflix.com/title/80117552']
58,tt1796960,Homeland,tvSeries,"Crime, Drama, Mystery",8.3,369549.0,2011.0,ts10,1.0,['https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Fhomeland%2F4D5i2zrUwRYl&subId3=justappsvod']
59,tt0098904,Seinfeld,tvSeries,Comedy,8.9,368875.0,1989.0,ts20681,1.0,['https://www.netflix.com/title/70153373']
60,tt5290382,Mindhunter,tvSeries,"Crime, Drama, Mystery",8.6,367537.0,2017.0,ts42405,1.0,['https://www.netflix.com/title/80114855']
61,tt0413573,Grey's Anatomy,tvSeries,"Drama, Romance",7.6,359594.0,2005.0,ts21469,3.0,"['https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Fgreys-anatomy%2F6P4ZI3bWwSDj&subId3=justappsvod', 'https://app.molotov.tv/channel/67/program/659', 'https://www.tf1.fr/tf1/greys-anatomy/videos/greys-anatomy-s01-e08-troublantes-revelations-15727967.html']"
62,tt1844624,American Horror Story,tvSeries,"Drama, Horror, Sci-Fi",7.9,354626.0,2011.0,ts5746,1.0,['https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Famerican-horror-story%2F4yFvVceupA9J&subId3=justappsvod']
63,tt1124373,Sons of Anarchy,tvSeries,"Crime, Drama, Thriller",8.5,340212.0,2008.0,ts22085,1.0,['https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Fsons-of-anarchy%2FHAtYXQqlg31X&subId3=justappsvod']
64,tt7335184,You,tvSeries,"Crime, Drama, Romance",7.7,336918.0,2018.0,ts79813,1.0,['https://www.netflix.com/title/80211991']
65,tt0367279,Arrested Development,tvSeries,Comedy,8.6,334767.0,2003.0,ts17156,2.0,"['https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Farrested-development%2F1trYOnYTElOr&subId3=justappsvod', 'https://www.netflix.com/title/70140358']"
66,tt2372162,Orange Is the New Black,tvSeries,"Comedy, Crime, Drama",8.0,328947.0,2013.0,ts20823,1.0,['https://www.netflix.com/title/70242311']
67,tt1837492,13 Reasons Why,tvSeries,"Drama, Mystery, Thriller",7.4,328734.0,2017.0,ts42294,1.0,['https://www.netflix.com/title/80117470']
68,tt7660850,Succession,tvSeries,"Comedy, Drama",8.8,317339.0,2018.0,ts77979,3.0,"['https://app.primevideo.com/detail?gti=amzn1.dv.gti.1ab66f4f-7367-30a5-1d35-485ed0884d54', 'https://www.mycanal.fr/series/succession/h/40426259_50889', 'https://play.max.com/video/watch/e457df99-f817-4646-b64c-8ce7afaeb405?utm_source=universal_search']"
69,tt11280740,Severance,tvSeries,"Drama, Mystery, Sci-Fi",8.7,316756.0,2022.0,ts320458,2.0,"['https://www.canalplus.com/series/severance/h/40000162_50696', 'https://tv.apple.com/fr/episode/le-bon-cote-de-lenfer/umc.cmc.s80mx1ic96pu6ewupz8pfasf?at=1000l3V2&ct=app_tvplus&itscg=30200&itsct=justwatch_tv_12&playableId=tvs.sbd.4000%3AVSEVR0560101&showId=umc.cmc.1srk2goyh2q2zdxcx605w8vtx']"
70,tt14392248,Aspirants,tvSeries,Drama,9.2,315616.0,2021.0,ts287363,0.0,[]
