,id,title,type,averageRating,numVotes,releaseYear,idjw,NbDiff,ClassifImdb,Diffuseur,SVOD,ClassificationSVOD,ValNudite,ValViolence,ValVulgarite,ValStupefiants,ValIntensite,CP_ar,CP_at,CP_au,CP_be,CP_br,CP_ca,CP_cl,CP_cn,CP_co,CP_cz,CP_de,CP_dk,CP_eg,CP_es,CP_fi,CP_fr,CP_gb,CP_gr,CP_hk,CP_hu,CP_id,CP_ie,CP_il,CP_in,CP_is,CP_it,CP_jo,CP_jp,CP_kp,CP_kr,CP_mt,CP_mx,CP_my,CP_nl,CP_no,CP_nz,CP_ph,CP_pl,CP_ru,CP_se,CP_th,CP_tr,CP_tw,CP_us,CP_za,Genre_action,Genre_adventure,Genre_animation,Genre_biography,Genre_comedy,Genre_crime,Genre_documentary,Genre_drama,Genre_family,Genre_fantasy,Genre_game-show,Genre_history,Genre_horror,Genre_music,Genre_musical,Genre_mystery,Genre_news,Genre_reality-tv,Genre_romance,Genre_sci-fi,Genre_short,Genre_sport,Genre_talk-show,Genre_thriller,Genre_war,Genre_western
1495,tt2244495,The Eric Andre Show,tvSeries,8.5,23207,2012,ts19046,3,,https://play.max.com/video/watch/f9762728-3229-4597-92f0-5ecd5ed51fdd?utm_source=universal_search,MAX,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1496,tt28106741,IC 814: The Kandahar Hijack,tvMiniSeries,5.8,23106,2024,ts392845,1,,https://www.netflix.com/title/81265803,Netflix,16+,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1497,tt14674086,Welcome to Wrexham,tvSeries,8.3,23086,2022,ts295157,1,,https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Fbienvenue-a-wrexham%2F4NwOxyDF4T3A&subId3=justappsvod,Disney+,16+,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1498,tt20859920,Alchemy of Souls,tvSeries,8.7,23072,2022,ts312082,1,13::(self-applied),https://www.netflix.com/title/81517188,Netflix,13+,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1499,tt8235236,Paradise PD,tvSeries,6.8,22979,2018,ts83540,1,16,https://www.netflix.com/title/80191522,Netflix,16+,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500,tt18075020,Who Is Erin Carter?,tvMiniSeries,6.5,22960,2023,ts330708,1,,https://www.netflix.com/title/81476887,Netflix,16+,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1501,tt14069590,Dota: Dragon's Blood,tvSeries,7.7,22951,2021,ts273100,1,16::(self-applied),https://www.netflix.com/title/80994336,Netflix,16+,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1502,tt22797582,American Nightmare,tvMiniSeries,7.5,22917,2024,ts370826,1,,https://www.netflix.com/title/81620852,Netflix,16+,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1503,tt6729080,Collateral,tvMiniSeries,6.8,22874,2018,ts78430,1,13::(self-applied),https://www.netflix.com/title/80185171,Netflix,13+,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1504,tt1181917,The Suite Life on Deck,tvSeries,6.4,22839,2008,ts21164,1,tous publics,https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Fla-vie-de-croisiere-de-zack-et-cody%2F6cByS05HrdPJ&subId3=justappsvod,Disney+,0+,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1505,tt11239552,Itaewon Class,tvSeries,8.1,22798,2020,ts223240,1,13::(self-applied),https://www.netflix.com/title/81193309,Netflix,13+,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1506,tt1693592,Vera,tvSeries,8.2,22783,2011,ts20528,1,tous publics,https://www.canalplus.com/series/les-enquetes-de-vera/h/4547217_50076,Canal+,tous public,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1507,tt8050756,The Owl House,tvSeries,8.6,22769,2020,ts113447,1,tous publics,https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Fluz-a-osville%2F4cOTrEy0YyaX&subId3=justappsvod,Disney+,9+,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1508,tt21217912,Trainwreck: Woodstock '99,tvMiniSeries,7.4,22718,2022,ts360095,1,16::(self-applied),https://www.netflix.com/fr-en/title/81280924,Netflix,16+,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1509,tt5822112,Rabbit Hole,tvSeries,7.4,22698,2023,ts328279,3,12::(self-applied),https://tv.apple.com/fr/show/rabbit-hole/umc.cmc.jjigsuhughuy2x2ce32ubtx8?at=1000l3V2&ct=app_tv&itscg=30200&itsct=justwatch_tv_12,AppleTV+,-18,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1510,tt5822112,Rabbit Hole,tvSeries,7.4,22698,2023,ts328279,3,12::(self-applied),https://www.paramountplus.com/shows/rabbit-hole/video/yWYgTS1SiMHqu5zCSiIUlf8ogKDzFt5q/rabbit-hole-pilot?searchReferral=,Paramount+,16,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1511,tt5822112,Rabbit Hole,tvSeries,7.4,22698,2023,ts328279,3,12::(self-applied),https://app.primevideo.com/detail?gti=amzn1.dv.gti.589909a6-5147-4282-af97-7780a0808551,Prime Video,18+,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
