,id,title,CodePays
506,tt1548850,Misfits,'gb'
508,tt1845307,2 Broke Girls,'us'
509,tt5232792,Lost in Space,'us'
510,tt6315640,Atypical,'us'
511,tt2879552,11.22.63,'us'
512,tt0804484,Foundation,"'ie', 'us'"
513,tt8550800,The Outsider,'us'
516,tt11041332,Yellowjackets,'us'
521,tt5189670,Making a Murderer,'us'
522,tt8064302,Dead to Me,'us'
523,tt7949218,See,'us'
524,tt5691552,The Orville,'us'
525,tt9059760,Normal People,"'ie', 'gb', 'us'"
526,tt0118480,Stargate SG-1,"'us', 'ca'"
527,tt2934286,Halo,'us'
532,tt9544034,The Family Man,'in'
533,tt12590266,Cyberpunk: Edgerunners,"'jp', 'us'"
534,tt3007572,Locke & Key,"'ca', 'us'"
535,tt2788432,American Crime Story,'us'
536,tt5114356,Legion,'us'
537,tt10233448,Vinland Saga,'jp'
543,tt15677150,Shrinking,'us'
544,tt0362359,The O.C.,'us'
547,tt3530232,Last Week Tonight with John Oliver,'us'
550,tt0106004,Frasier,'us'
552,tt7587890,The Rookie,'us'
555,tt0312172,Monk,'us'
556,tt8806524,Star Trek: Picard,'us'
560,tt16358384,Tulsa King,'us'
563,tt0112130,Pride and Prejudice,'gb'
564,tt8421350,Manifest,'us'
565,tt24053860,The Day of the Jackal,"'gb', 'us'"
566,tt1220617,The Inbetweeners,'gb'
567,tt1561755,Bob's Burgers,'us'
568,tt0112159,Neon Genesis Evangelion,'jp'
569,tt8714904,Narcos: Mexico,'us'
570,tt0060028,Star Trek,'us'
573,tt7134908,Elite,'es'
574,tt2249007,Ray Donovan,'us'
577,tt9815454,Unorthodox,'de'
578,tt10293938,Outer Banks,'us'
579,tt0158552,Charmed,'us'
582,tt6077448,Sacred Games,"'in', 'us'"
583,tt1462059,Falling Skies,"'us', 'ca'"
585,tt4288182,Atlanta,'us'
586,tt6524350,Big Mouth,"'us', 'ca', 'kr'"
587,tt5626028,My Hero Academia,'jp'
592,tt3475734,Agent Carter,'us'
593,tt13309742,Blue Eye Samurai,'us'
594,tt0994314,Code Geass,'jp'
