id,title,type,genres,averageRating,numVotes,releaseYear,idjw,NbDiff,ClassifImdb,CodePays
tt1219024,Castle,tvSeries,"Comedy, Crime, Drama",8.1,181127.0,2009.0,ts11795,1.0,tous publics,'us'
tt0387199,Entourage,tvSeries,"Comedy, Drama",8.4,180329.0,2004.0,ts2024,3.0,tous publics,'us'
tt4179452,The Last Kingdom,tvSeries,"Action, Drama, History",8.5,178048.0,2015.0,ts36577,1.0,10,'gb'
tt2575988,Silicon Valley,tvSeries,Comedy,8.5,174515.0,2014.0,ts20760,3.0,tous publics,'us'
tt3205802,How to Get Away with Murder,tvSeries,"Crime, Drama, Mystery",8.1,173591.0,2014.0,ts21374,1.0,tous publics,'us'
tt1486217,Archer,tvSeries,"Action, Animation, Comedy",8.6,171563.0,2009.0,ts13253,1.0,16,'us'
tt1567432,Teen Wolf,tvSeries,"Action, Drama, Fantasy",7.7,171265.0,2011.0,ts20518,2.0,tous publics,'us'
tt0364845,NCIS,tvSeries,"Action, Crime, Drama",7.8,170888.0,2003.0,ts22337,5.0,10,'us'
tt5555260,This Is Us,tvSeries,"Comedy, Drama, Romance",8.7,168017.0,2016.0,ts41943,1.0,tous publics,'us'
tt0118276,Buffy the Vampire Slayer,tvSeries,"Action, Adventure, Drama",8.3,167692.0,1997.0,ts15445,3.0,10,'us'
tt2431438,Sense8,tvSeries,"Drama, Mystery, Sci-Fi",8.2,167646.0,2015.0,ts21869,1.0,16,'us'
tt8420184,The Last Dance,tvMiniSeries,"Biography, Documentary, History",9.0,166560.0,2020.0,ts81120,1.0,7::(self-applied),'us'
tt13016388,3 Body Problem,tvSeries,"Adventure, Drama, Fantasy",7.5,164469.0,2024.0,ts261022,1.0,16::(netflix self-rating),"'gb', 'us', 'cn'"
tt2098220,Hunter x Hunter,tvSeries,"Action, Adventure, Animation",9.0,163874.0,2011.0,ts32835,3.0,tous publics::(dvd rating),'jp'
tt0214341,Dragon Ball Z,tvSeries,"Action, Adventure, Animation",8.8,162416.0,1996.0,ts20740,3.0,12::(censored),"'jp', 'us', 'ca'"
tt0238784,Gilmore Girls,tvSeries,"Comedy, Drama",8.2,161688.0,2000.0,ts21567,2.0,tous publics,'us'
tt3526078,Schitt's Creek,tvSeries,Comedy,8.5,161413.0,2015.0,ts21867,1.0,tous publics::(dvd rating),"'ca', 'us'"
tt8398600,After Life,tvSeries,"Comedy, Drama",8.4,161356.0,2019.0,ts81007,1.0,16::(self-applied),'gb'
tt7493974,Bodyguard,tvSeries,"Crime, Drama, Thriller",8.0,160832.0,2018.0,ts81884,1.0,13::(self-applied),'gb'
